Occurrence Date,Department,Municipality,Lat,Long,Confidence ratio (km),Deaths,Trigger,Source,Rain Yesterday,Rain Today,Landslide
2011-04-21,TOLIMA,PLANADAS,3.11,-75.65,1.79,1,Unknown,UNGRD,13.2,26.6,1
2011-04-22,ANTIOQUIA,BARBOSA (A),6.44,-75.33,8.1,2,Unknown,UNGRD,39.4,39.5,1
2011-04-23,BOYACA,CUCAITA,5.53,-73.45,3.67,1,Unknown,UNGRD,13.4,5.2,1
2011-04-27,ANTIOQUIA,MEDELLIN,6.25,-75.58,6.5,2,Unknown,UNGRD,14.3,18.6,1
2011-04-27,ANTIOQUIA,MEDELLIN,6.25,-75.58,6.5,1,Unknown,UNGRD,14.3,18.6,1
2011-04-30,HUILA,TIMANA,1.95,-75.92,7.7,1,Unknown,UNGRD,1.6,18.2,1
2011-05-03,CASANARE,YOPAL,5.24,-72.26,28.13,1,Unknown,UNGRD,34.5,9.3,1
2011-05-04,BOYACA,SAMACA,5.47,-73.52,7.38,2,Unknown,UNGRD,5.9,3.9,1
2011-05-16,SANTANDER,LEBRIJA,7.15,-73.3,1.5,2,Unknown,UNGRD,18.5,21.6,1
2011-05-17,RISARALDA,MISTRATO,5.41,-75.96,13.42,1,Unknown,UNGRD,1.4,0.4,1
2011-05-18,SANTANDER,SAN VICENTE DE CHUCURI,6.89,-73.54,18.7,11,Rainfall,UNGRD,5.3,0.2,1
2011-06-05,BOLIVAR,SANTA ROSA DEL SUR,7.77,-74.26,27.53,3,Unknown,UNGRD,2.7,6.0,1
2011-06-09,RISARALDA,PUEBLO RICO,5.35,-76.16,0.63,1,Rainfall,UNGRD,0.0,1.5,1
2011-06-15,SANTANDER,CHIMA,6.36,-73.4,7.41,1,Unknown,UNGRD,0.7,14.2,1
2011-06-24,SANTANDER,LEBRIJA,7.2,-73.29,13.24,2,Unknown,UNGRD,9.1,10.6,1
2011-06-24,SANTANDER,MATANZA,7.35,-73.05,8.67,1,Unknown,UNGRD,7.1,10.5,1
2011-06-24,SANTANDER,MACARAVITA,6.51,-72.59,5.76,1,Unknown,UNGRD,13.7,9.8,1
2011-07-06,RISARALDA,PUEBLO RICO,5.29,-76.07,13.97,1,Unknown,UNGRD,4.4,21.9,1
2011-07-14,ANTIOQUIA,SEGOVIA,7.08,-74.7,0.5,1,Unknown,UNGRD,18.2,11.3,1
2011-07-29,SANTANDER,BARRANCABERMEJA,7.06,-73.85,6.0,2,Unknown,UNGRD,42.7,44.7,1
2011-08-03,CUNDINAMARCA,VILLETA,5.01,-74.47,1.25,1,Human activity,UNGRD,2.4,2.1,1
2011-08-23,ANTIOQUIA,MONTEBELLO,5.92,-75.52,4.9,1,Unknown,UNGRD,13.0,9.8,1
2011-08-23,TOLIMA,CAJAMARCA,4.41,-75.5,12.73,1,Unknown,UNGRD,12.0,1.5,1
2011-08-29,ANTIOQUIA,BELLO,6.36,-75.59,6.87,1,Human activity,UNGRD,2.5,0.0,1
2011-09-04,NORTE DE SANTANDER,LABATECA,7.22,-72.48,9.02,1,Unknown,UNGRD,5.4,0.3,1
2011-09-13,CHOCO,ATRATO,5.56,-76.61,11.73,7,Unknown,DESINVENTAR,0.8,1.3,1
2011-09-22,CALDAS,LA DORADA,5.41,-74.72,13.32,1,Unknown,UNGRD,1.5,1.4,1
2011-09-27,ANTIOQUIA,ANGOSTURA,6.87,-75.36,10.24,6,Unknown,UNGRD,8.9,0.0,1
2011-10-01,ANTIOQUIA,TOLEDO (A),7.02,-75.71,6.22,2,Unknown,SIMMA,0.2,7.1,1
2011-10-06,NARIÑO,FUNES,0.96,-77.4,11.21,1,Unknown,UNGRD,8.2,7.2,1
2011-10-07,VALLE DEL CAUCA,BUENAVENTURA,3.49,-77.12,44.71,5,Rainfall,UNGRD,3.4,2.8,1
2011-10-07,NORTE DE SANTANDER,TOLEDO (NS),7.23,-72.31,21.7,1,Human activity,UNGRD,11.6,7.1,1
2011-10-07,NORTE DE SANTANDER,OCAÑA,8.39,-73.45,4.67,1,Unknown,UNGRD,11.0,3.2,1
2011-10-13,SANTANDER,EL PLAYON,7.52,-73.18,12.04,1,Unknown,UNGRD,14.0,3.6,1
2011-10-15,NORTE DE SANTANDER,LA ESPERANZA,7.64,-73.33,0.45,1,Unknown,UNGRD,18.5,31.6,1
