profile_identifier;latitude;longitude;clay.60.100.cm;silt.60.100.cm;sand.60.100.cm;trans_1.60.100.cm;trans_2.60.100.cm
71498;2.390000;-75.250000;13.0;15.3;71.8;1.710113;0.161225
71499;1.370000;-70.870000;26.1;12.0;62.0;0.865068;-0.779612
71500;0.970000;-70.889722;50.2;11.9;37.9;-0.279899;-1.439164
71501;10.949722;-73.650000;18.9;26.1;55.0;1.067789;0.324915
71667;-2.440000;-72.190000;37.0;38.1;24.9;-0.397094;0.030107
71710;2.819722;-71.040000;32.4;47.3;20.3;-0.470933;0.376693
71711;3.099722;-76.199722;14.6;26.1;59.3;1.403266;0.584265
71712;4.829722;-68.330000;2.0;4.0;94.0;3.850705;0.694238
71745;2.600000;-72.566667;7.3;47.5;45.2;1.825658;1.873683
IGAC-AMA-PA-001;-4.157500;-69.948333;53.3;34.5;12.2;-1.473901;-0.436938
IGAC-AMA-PA-002;-4.092222;-69.990556;7.1;8.9;84.0;2.468939;0.220054
IGAC-AMA-PA-003;-3.698889;-70.565833;62.1;22.4;15.6;-1.382151;-1.020761
IGAC-AMA-PA-004;-3.797500;-70.306111;74.1;19.9;6.1;-2.501304;-1.315288
IGAC-AMA-PA-007;-3.802778;-70.617778;51.6;39.7;8.8;-1.772344;-0.261641
IGAC-AMA-PA-010;-3.852500;-70.248611;42.2;50.5;7.3;-1.762590;0.178384
IGAC-AMA-PA-011;-3.857778;-70.192500;52.0;24.0;24.0;-0.774814;-0.772279
IGAC-AMA-PA-012;-3.934167;-70.122500;64.7;26.7;8.7;-2.009148;-0.885559
IGAC-AMA-PA-013;-4.019722;-70.156111;15.6;54.4;30.0;0.650332;1.247177
IGAC-AMA-PA-014;-3.979444;-70.061111;63.9;19.3;16.8;-1.332742;-1.197291
IGAC-AMA-PA-015;-3.798611;-69.898611;48.3;25.6;26.2;-0.611584;-0.635158
IGAC-AMA-PA-016;-3.744722;-69.873611;20.4;21.0;58.6;1.056359;0.031397
IGAC-AMA-PA-017;-3.750278;-69.880000;12.4;18.7;68.9;1.711100;0.405677
IGAC-AMA-PA-018;-4.144167;-69.948056;49.1;38.0;12.8;-1.343211;-0.256560
IGAC-AMA-PA-019;-4.133056;-69.951667;9.8;23.9;66.3;1.911907;0.893574
IGAC-AMA-PA-020;-2.772778;-69.821944;32.9;42.7;24.4;-0.298244;0.259314
IGAC-AMA-PA-021;-2.751389;-69.817778;30.4;46.0;23.6;-0.255001;0.413410
IGAC-AMA-PA-022;-3.062222;-70.001389;53.1;30.0;16.9;-1.148194;-0.570932
IGAC-AMA-PA-023;-3.059167;-70.072778;37.8;31.8;30.4;-0.219860;-0.173283
IGAC-AMA-PA-025;-3.188333;-70.293333;82.2;12.3;5.5;-2.706104;-1.901589
IGAC-AMA-PA-026;-3.195833;-70.293611;50.6;45.1;4.3;-2.454583;-0.114615
IGAC-AMA-PA-029;-2.902222;-69.758056;48.9;32.6;18.5;-0.974447;-0.406067
IGAC-AMA-PA-030;-2.642500;-70.069444;48.1;26.9;25.0;-0.653383;-0.581202
IGAC-AMA-PA-031;-2.582222;-70.036667;55.1;29.4;15.5;-1.271710;-0.627484
IGAC-AMA-PA-032;-2.574444;-70.015278;23.6;28.3;48.1;0.712935;0.184352
IGAC-AMA-PA-033;-2.599444;-70.220278;29.9;54.6;15.5;-0.655521;0.603260
IGAC-AMA-PA-034;-2.544167;-70.174167;36.4;40.1;23.5;-0.435742;0.097194
IGAC-AMA-PA-035;-2.748056;-70.018333;41.7;44.2;14.1;-1.086600;0.057323
IGAC-AMA-PA-036;-4.007778;-69.957778;44.9;9.6;45.5;0.012371;-1.548439
IGAC-AMA-PA-037;-4.044167;-69.974167;47.0;27.3;25.8;-0.600938;-0.543969
IGAC-AMA-PA-038;-4.080556;-69.995000;58.2;29.6;12.3;-1.556231;-0.676569
IGAC-AMA-PA-039;-3.852222;-70.213056;16.4;20.0;63.6;1.354274;0.195711
IGAC-AMA-PA-040;-2.114444;-71.937778;69.8;26.2;4.1;-2.843051;-0.980577
IGAC-AMA-PA-041;-2.103056;-71.947222;30.0;55.5;14.5;-0.728867;0.613106
IGAC-AMA-PA-042;-2.108056;-71.942222;58.5;27.9;13.7;-1.451735;-0.741444
IGAC-AMA-PA-043;-2.123611;-71.753889;61.5;22.4;16.2;-1.335111;-1.010462
IGAC-AMA-PA-044;-2.115278;-71.748333;79.2;9.8;10.9;-1.979971;-2.087611
IGAC-AMA-PA-046;-2.154444;-71.767500;62.8;25.6;11.6;-1.688279;-0.894735
IGAC-AMA-PA-047;-2.233333;-71.863056;33.0;12.7;54.3;0.496159;-0.954697
IGAC-AMA-PA-048;-2.230556;-71.853333;27.7;54.1;18.2;-0.417644;0.669235
IGAC-AMA-PA-049;-2.208889;-71.674444;28.7;48.8;22.5;-0.246789;0.529096
IGAC-AMA-PA-051;-2.215000;-71.678889;27.5;53.5;19.0;-0.369960;0.667323
IGAC-AMA-PA-052;-2.178056;-71.517500;37.3;47.7;14.9;-0.916893;0.245190
IGAC-AMA-PA-053;-2.167222;-72.018611;51.1;40.7;8.2;-1.831287;-0.226478
IGAC-AMA-PA-054;-2.175000;-71.703889;39.6;49.3;11.1;-1.271329;0.217780
IGAC-AMA-PA-055;-2.169167;-71.698611;68.5;23.9;7.6;-2.192381;-1.052142
IGAC-AMA-PA-056;-2.200833;-70.881389;49.9;41.1;9.1;-1.701581;-0.194307
IGAC-AMA-PA-057;-2.208333;-70.880000;65.8;28.4;5.8;-2.430880;-0.839070
IGAC-AMA-PA-058;-2.194444;-70.811944;43.8;50.0;6.3;-1.945853;0.132849
IGAC-AMA-PA-059;-2.193611;-70.803889;38.0;51.2;10.8;-1.259510;0.298759
IGAC-AMA-PA-060;-2.231667;-70.742222;46.7;40.7;12.6;-1.312663;-0.138310
IGAC-AMA-PA-061;-2.240833;-70.745833;66.0;25.0;9.0;-1.995643;-0.970880
IGAC-AMA-PA-062;-2.263611;-70.775000;41.7;48.2;10.1;-1.416529;0.144985
IGAC-AMA-PA-063;-2.256944;-70.769167;13.7;47.0;39.3;1.051912;1.232913
IGAC-AMA-PA-064;-2.166667;-70.752778;74.7;23.3;2.0;-3.620085;-1.163986
IGAC-AMA-PA-065;-2.167222;-70.760000;32.6;61.7;5.8;-1.733702;0.638893
IGAC-AMA-PA-067;-2.214167;-70.945000;29.6;54.6;15.8;-0.626310;0.611189
IGAC-AMA-PA-068;-2.263333;-70.715556;42.0;13.4;44.6;0.061146;-1.139715
IGAC-AMA-PA-069;-2.187500;-70.738056;56.2;30.2;13.6;-1.418201;-0.619572
IGAC-AMA-PA-070;-2.197222;-70.739444;34.7;61.0;4.3;-2.077379;0.564334
IGAC-AMA-PA-071;-2.235278;-70.902778;2.6;1.7;95.7;3.598515;-0.453386
IGAC-AMA-PA-072;-2.238889;-70.909167;7.7;27.7;64.6;2.130470;1.285058
IGAC-AMA-PA-073;-2.866667;-69.817500;68.3;27.6;4.1;-2.824812;-0.906140
IGAC-AMA-PA-074;-2.937500;-69.843889;37.5;36.3;26.1;-0.361865;-0.032581
